description,nof_floor,garage,garden,backdoor,nof_bathroom,nof_room,h_id
"1276 Pleasant St in Worcester, MA was built in 1945 with a total of 1000 sq ft. The current listing price for this property is 147400 with a per sq ft price of 147.4. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Airport Hill Neigborhood Worcester, MA-Doherty. Directions: On Pleasant St on left, after Joppa Rd. before Atlas Pizza. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,4,15
"44 Tiverton Parkway in Worcester, MA was built in 1950 with a total of 1502 sq ft. The current listing price for this property is 174900 with a per sq ft price of 116.44. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-Doherty. Directions: Pleasant St to Tiverton Parkway. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,16
"158 May St in Worcester, MA was built in 1900 with a total of 975 sq ft. The current listing price for this property is 87000 with a per sq ft price of 89.23. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Park Ave. To May St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,17
"8 Judith Rd in Worcester, MA was built in 1903 with a total of 1804 sq ft. The current listing price for this property is 242500 with a per sq ft price of 134.42. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: June to Judith. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,18
"20 Rich St in Worcester, MA was built in 1923 with a total of 1662 sq ft. The current listing price for this property is 199900 with a per sq ft price of 120.28. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: Pleasant to Tiverton to Rich. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,19
"153 Copperfield Rd in Worcester, MA was built in 1910 with a total of 874 sq ft. The current listing price for this property is 124900 with a per sq ft price of 142.91. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Copperfield near Tatnuck Square. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,20
"96 May Street in Worcester, MA was built in 1935 with a total of 1320 sq ft. The current listing price for this property is 110000 with a per sq ft price of 83.33. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Park Avenue to May Street. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,21
"38 1st Street in Worcester, MA was built in 1981 with a total of 2001 sq ft. The current listing price for this property is 179000 with a per sq ft price of 89.46. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Mill Street to 1st Street. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,22
"25 Dawson Rd in Worcester, MA was built in 1940 with a total of 1178 sq ft. The current listing price for this property is 74900 with a per sq ft price of 63.58. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: USE GOOGLE MAPS. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,23
"78 Copperfield Rd in Worcester, MA was built in 1988 with a total of 1568 sq ft. The current listing price for this property is 227900 with a per sq ft price of 145.34. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: going north on Pleasant St, take right on Copperfield. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,24
"149 South Flagg St in Worcester, MA was built in 1948 with a total of 1300 sq ft. The current listing price for this property is 205000 with a per sq ft price of 157.69. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty High. Directions: Chandler St. to Hadwen Rd. Right on to South Flagg. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,25
"95 WEDGEWOOD ROAD in Worcester, MA was built in 1987 with a total of 1008 sq ft. The current listing price for this property is 141000 with a per sq ft price of 139.88. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: MOWER TO WEST MORELAND TO WEDGEWOOD (USE GOOGLE MAPS). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,26
"5 Briarcliff Street in Worcester, MA was built in 1966 with a total of 1640 sq ft. The current listing price for this property is 224900 with a per sq ft price of 137.13. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant - Beaconsfield - Briarcliff. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,7,27
"13 Hadwen Ln in Worcester, MA was built in 1911 with a total of 1900 sq ft. The current listing price for this property is 189900 with a per sq ft price of 99.95. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Pleasant - Tatnuck. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,28
"3 Westbrook Rd in Worcester, MA was built in 1940 with a total of 1269 sq ft. The current listing price for this property is 189000 with a per sq ft price of 148.94. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant St to Richmond Ave to Fenwick St to Westbrook Rd. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,29
"23 DELLWOOD ROAD in Worcester, MA was built in 1936 with a total of 1984 sq ft. The current listing price for this property is 227900 with a per sq ft price of 114.87. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty High. Directions: PLEASANT ST TO DELLWOOD. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,30
"427 Mill St in Worcester, MA was built in 1938 with a total of 2098 sq ft. The current listing price for this property is 197699 with a per sq ft price of 94.23. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: Take a right onto Mill St from June St. House is on the left hand side of the road.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,31
"9 S Flagg St in Worcester, MA was built in 1929 with a total of 2337 sq ft. The current listing price for this property is 176899 with a per sq ft price of 75.69. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-Doherty High. Directions: Pleasant St to Flagg. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,10,32
"22 Beaconsfield Rd in Worcester, MA was built in 1913 with a total of 2600 sq ft. The current listing price for this property is 209900 with a per sq ft price of 80.73. The property has 2 floors, 10 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty High. Directions: Off Pleasant St near Tatnuck School. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,9,33
"170 MAY Street in Worcester, MA was built in 1952 with a total of 964 sq ft. The current listing price for this property is 143500 with a per sq ft price of 148.86. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty H.S.. Directions: June Street, Left onto May Street. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,34
"386 May St in Worcester, MA was built in 1919 with a total of 2277 sq ft. The current listing price for this property is 259500 with a per sq ft price of 113.97. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the West Side Neigborhood Worcester, MA-. Directions: Pleasant or Chandler St. to May St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,8,35
"140 May St in Worcester, MA was built in 1943 with a total of 1852 sq ft. The current listing price for this property is 200000 with a per sq ft price of 107.99. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty HS. Directions: Corner of May and Lovell St. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,36
"1 Saxon Rd. in Worcester, MA was built in 1942 with a total of 2524 sq ft. The current listing price for this property is 249900 with a per sq ft price of 99.01. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Richmond to Greenbriar to Saxon. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,4,8,37
"579 Chandler St in Worcester, MA was built in 1929 with a total of 1288 sq ft. The current listing price for this property is 79900 with a per sq ft price of 62.03. The property has 2 floors, 8 bedrooms, 4 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: googlemaps. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,38
"5 Cornell St in Worcester, MA was built in 1923 with a total of 1717 sq ft. The current listing price for this property is 195000 with a per sq ft price of 113.57. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Richmond Ave or Kinnicutt Rd to Cornell St. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,39
"28 Tarrytown Ln in Worcester, MA was built in 1961 with a total of 1232 sq ft. The current listing price for this property is 129900 with a per sq ft price of 105.44. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Mower to Tarrytown. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,40
"22 Saint Elmo in Worcester, MA was built in 1915 with a total of 1666 sq ft. The current listing price for this property is 215000 with a per sq ft price of 129.05. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the West Side Neigborhood Worcester, MA-. Directions: Pleasant Street, at light, opposite Richmond Ave. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,41
"41 SUSSEX LANE in Worcester, MA was built in 1962 with a total of 1400 sq ft. The current listing price for this property is 169900 with a per sq ft price of 121.36. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: pleasant st to mower to sussex. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,42
"88 Beaconsfield Rd in Worcester, MA was built in 1900 with a total of 1596 sq ft. The current listing price for this property is 189900 with a per sq ft price of 118.98. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Mapquest. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,43
"13 Fox Meadow Dr in Worcester, MA was built in 1989 with a total of 1420 sq ft. The current listing price for this property is 149000 with a per sq ft price of 104.93. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Airport Hill Neigborhood Worcester, MA-. Directions: Please Use Google Maps. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,44
"42 Iowa St in Worcester, MA was built in 1965 with a total of 1098 sq ft. The current listing price for this property is 179900 with a per sq ft price of 163.84. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Iowa  Near Flagg. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,45
"40A Hillcrest Ave in Worcester, MA was built in 2012 with a total of 1344 sq ft. The current listing price for this property is 250000 with a per sq ft price of 186.01. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Salisbury, Moreland West Pine, Hilltop, R. Oak Knoll, R Hillcrest. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,46
"417 Mill in Worcester, MA was built in 1943 with a total of 1064 sq ft. The current listing price for this property is 86000 with a per sq ft price of 80.83. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: Mill Street near Worcester State College. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,47
"13 Balmoral St in Worcester, MA was built in 1951 with a total of 1178 sq ft. The current listing price for this property is 74900 with a per sq ft price of 63.58. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-. Directions: pleasant st ,beaconsfield to balmoral. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,48
"407 Mower Street in Worcester, MA was built in 1957 with a total of 2033 sq ft. The current listing price for this property is 199000 with a per sq ft price of 97.88. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-Worcester. Directions: Pleasant street to Mower. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,8,49
"180 May St in Worcester, MA was built in 2009 with a total of 1609 sq ft. The current listing price for this property is 197900 with a per sq ft price of 123. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-Doherty High. Directions: Worc Park Ave to May St take West turn on May go 1/2 mile on right 180 May St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,5,50
"22 High Ridge Rd in Worcester, MA was built in 1928 with a total of 1919 sq ft. The current listing price for this property is 230000 with a per sq ft price of 119.85. The property has 2 floors, 5 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Flagg St to High Ridge Rd. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,51
"33 Navasota Ave in Worcester, MA was built in 1943 with a total of 1449 sq ft. The current listing price for this property is 186900 with a per sq ft price of 128.99. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant St. to Mower. to Navasota. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,52
"4 Kay St in Worcester, MA was built in 1945 with a total of 1220 sq ft. The current listing price for this property is 99900 with a per sq ft price of 81.89. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: June to Glendale to Kay. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,7,53
"28 Copley Rd in Worcester, MA was built in 1957 with a total of 1480 sq ft. The current listing price for this property is 225000 with a per sq ft price of 152.03. The property has 2 floors, 7 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Copley. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,54
"9 Wamsutta Ave. in Worcester, MA was built in 1945 with a total of 1560 sq ft. The current listing price for this property is 225000 with a per sq ft price of 144.23. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: May Street to Wamsutta Ave. (between June St. and Worc. State U.). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,55
"56 Midland Street in Worcester, MA was built in 1921 with a total of 2180 sq ft. The current listing price for this property is 227500 with a per sq ft price of 104.36. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Intervale to Midland. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,56
"77 Winifred Ave in Worcester, MA was built in 1930 with a total of 1353 sq ft. The current listing price for this property is 149900 with a per sq ft price of 110.79. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Newton to Midland. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,57
"340 Mill St in Worcester, MA was built in 1939 with a total of 1352 sq ft. The current listing price for this property is 157900 with a per sq ft price of 116.79. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: June Street to Mill Street, House is in Westbound lane across from Mill Swan School. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,58
"28 Westfield St in Worcester, MA was built in 1890 with a total of 2040 sq ft. The current listing price for this property is 157900 with a per sq ft price of 77.4. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Parkave to May St to Westfield. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,59
"293 Mill St. in Worcester, MA was built in 1932 with a total of 1290 sq ft. The current listing price for this property is 174900 with a per sq ft price of 135.58. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: June St. left onto Mill St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,60
"9 Dellwood in Worcester, MA was built in 1928 with a total of 1536 sq ft. The current listing price for this property is 209900 with a per sq ft price of 136.65. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant to Dellwood. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,61
"49 Midland St in Worcester, MA was built in 1930 with a total of 1747 sq ft. The current listing price for this property is 239900 with a per sq ft price of 137.32. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the West Side Neigborhood Worcester, MA-DOHERTY HIGH. Directions: Pleasant St. to Newton Ave (at rotary). to Midland St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,62
"38 Zenith Dr in Worcester, MA was built in 1943 with a total of 1611 sq ft. The current listing price for this property is 239000 with a per sq ft price of 148.36. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-Doherty. Directions: May Street to Zenith Drive. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,63
"74 Richmond Avenue in Worcester, MA was built in 1910 with a total of 1437 sq ft. The current listing price for this property is 209900 with a per sq ft price of 146.07. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant or Flagg to Richmond (corner of Lull). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,64
"15 Kensington Road in Worcester, MA was built in 1943 with a total of 1656 sq ft. The current listing price for this property is 189900 with a per sq ft price of 114.67. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 3 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Pleasant Street towards Tatnuck Sq., left onto Kensington.(Spanish Colonial on the corner). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,65
"39 Zenith Dr in Worcester, MA was built in 1974 with a total of 1864 sq ft. The current listing price for this property is 247000 with a per sq ft price of 132.51. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the Tatnuck Neigborhood Worcester, MA-Doherty. Directions: May Street to Zenith Drive. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,8,66
"20 Quaboag St in Worcester, MA was built in 1949 with a total of 1354 sq ft. The current listing price for this property is 174900 with a per sq ft price of 129.17. The property has 2 floors, 8 bedrooms, 3 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Mill Street or June Street to Quaboag. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,67
"28 Franconia St in Worcester, MA was built in 1913 with a total of 2070 sq ft. The current listing price for this property is 249900 with a per sq ft price of 120.72. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: June to Franconia Closer to circle. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,68
"47 Wyola drive in Worcester, MA was built in 2010 with a total of 1500 sq ft. The current listing price for this property is 239900 with a per sq ft price of 159.93. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: See map quest. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,69
"56 Abington St in Worcester, MA was built in 1949 with a total of 950 sq ft. The current listing price for this property is 95000 with a per sq ft price of 100. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: park ave to main to eureka to abington st.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,70
"12 Varnum Street in Worcester, MA was built in 1953 with a total of 1200 sq ft. The current listing price for this property is 109000 with a per sq ft price of 90.83. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: off curtis parkway. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,71
"184 Ludlow in Worcester, MA was built in 1954 with a total of 872 sq ft. The current listing price for this property is 165000 with a per sq ft price of 189.22. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-South High. Directions: Stafford Street to Right on Ludlow Street, third home on the right.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,72
"86 Crest Circle in Worcester, MA was built in 1985 with a total of 1024 sq ft. The current listing price for this property is 99900 with a per sq ft price of 97.56. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the Webster Square Neigborhood Worcester, MA-South High. Directions: Apricot to Wildwood to Crest Circle. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,73
